Lokaliz. funkc.;Oznaczenie;Zakład planow.
PLPA-PR-011-010174-010;GF RO Pakowanie (z mod. Buhler);PLPA
PLPA-PR-011-010174-011;FCR Formy Snowman G90;PLPA
PLPA-PR-011-010174-012;FC Heart G53 Packing;PLPA
PLPA-PR-011-010174-013;FC Heart G53 Moulds;PLPA
PLPA-PR-011-010174-014;FC RO bunny108gr form;PLPA
PLPA-PR-011-010175;FC ROCHER IFCS;PLPA
PLPA-PR-011-010175-001;FC ROCHER IFCS;PLPA
PLPA-PR-011-010176;FC ROCHER GR;PLPA
PLPA-PR-011-010176-001;FCR Pakowanie Zając G100;PLPA
PLPA-PR-011-010177;FC ROCHER (Modelator);PLPA
PLPA-PR-011-010177-001;FC ROCHER Modelator;PLPA
PLPA-PR-011-010177-002;GF RO formy G100 (Buhler);PLPA
PLPA-PR-011-010177-003;GF RO Pakowanie (z mod. Buhler);PLPA
PLPA-PR-011-010177-004;n/a;PLPA
PLPA-PR-011-010177-005;FCR Formy Squirrel 90G;PLPA
PLPA-PR-011-010178;Maszyna pakująca Rocherone;PLPA
PLPA-PR-011-010178-001;GF RO Pakowanie (z mod. Ceda);PLPA
PLPA-PR-011-010178-002;FCR Pakowanie Wiewiórka/Kom(NIE LOGOWAĆ);PLPA
PLPA-PR-011-010178-003;GF RO Formy G100 (CEDA);PLPA
PLPA-PR-011-010178-004;GF RO Formy G190 (CEDA);PLPA
PLPA-PR-011-010178-006;n/a;PLPA
PLPA-PR-011-010179-001;FC Pakowanie IFC G75;PLPA
PLPA-PR-011-010179-002;FC Pakowanie IFC T75 1;PLPA
PLPA-PR-011-010179-003;FC Pakowanie IFC T75 2;PLPA
PLPA-PR-011-010180-001;FC Pakowanie Chocal Birillone G140;PLPA
PLPA-PR-011-010180-002;FC Formy Birillone G140;PLPA
PLPA-PR-011-010182-001;FC Pakowanie GR-08 Gallina G138;PLPA
PLPA-PR-011-011918;K ARCHIWUM;PLPA
PLPA-PR-011-011918-001;Modelator dużej linii;PLPA
PLPA-PR-011-011918-002;Pakowanie;PLPA
PLPA-PR-011-011919;KC Summer Uovo;PLPA
PLPA-PR-011-011919-001;KC Summer Uovo termoformatura;PLPA
PLPA-PR-011-011919-002;KC Summer Uovo modelator;PLPA
PLPA-PR-011-011919-003;KC Summer Uovo packaging;PLPA
PLPA-PR-011-012019;PREP 1;PLPA
PLPA-PR-011-012019-001;KS Rework;PLPA
PLPA-PR-011-012019-002;PREP. Kremu KS FC;PLPA
PLPA-PR-011-090001;Obsługa wózków widłowych UGP2;PLPA
PLPA-PR-011-090001-001;Serwis wózków widłowych UGP2;PLPA
PLPA-PR-011-090001-002;Wynajem wózków widłowych UGP2;PLPA
PLPA-PR-011-090001-003;Części zamienne wózków widłowych UGP2;PLPA
PLPA-PR-021;(NIE UŻYWAĆ) UGP3 PREP NUT TT;PLPA
PLPA-PR-021-010324;KJ Tartufino;PLPA
PLPA-PR-021-010324-001;Kinder Joy Tartufino;PLPA
PLPA-PR-021-010399;KJ Creme;PLPA
PLPA-PR-021-010399-001;KJ Creme;PLPA
PLPA-PR-021-010550;TT;PLPA
PLPA-PR-021-010550-001;TT Liliput;PLPA
PLPA-PR-021-010550-002;TT tesco line II;PLPA
PLPA-PR-021-010552;Tic Tac T24 Tesco;PLPA
PLPA-PR-021-010552-001;TT Tesco linia I;PLPA
PLPA-PR-021-010552-002;TT Tesco linia II;PLPA
PLPA-PR-021-010555-002;TT tesco line II;PLPA
PLPA-PR-021-010558;TIC TAC;PLPA
PLPA-PR-021-010558-001;TT Bottle Pack;PLPA
PLPA-PR-021-011330;NUT;PLPA
PLPA-PR-021-011330-001;NUT T200;PLPA
PLPA-PR-021-011330-002;NUT Auto. paletyzacja;PLPA
PLPA-PR-021-011331;Nutella T400;PLPA
PLPA-PR-021-011331-001;NUT T400;PLPA
PLPA-PR-021-011332;Nutella T750;PLPA
PLPA-PR-021-011332-001;NUT T700;PLPA
PLPA-PR-021-012010;Prep creme Raffaello;PLPA
PLPA-PR-021-012010-001;PREP. Kremu RAF;PLPA
PLPA-PR-021-012011;Prep creme base latte;PLPA
PLPA-PR-021-012011-001;PREP. Kremu KB;PLPA
PLPA-PR-021-012012;Tostino;PLPA
PLPA-PR-021-012012-001;Palarnia orzechów 1 Buhler;PLPA
PLPA-PR-021-012012-002;Palarnia orzechów 3 Mini;PLPA
PLPA-PR-021-012015;Desodorator ARD;PLPA
PLPA-PR-021-012015-001;Dezodorator 1;PLPA
PLPA-PR-021-012016;Prep.creme COU Summer;PLPA
PLPA-PR-021-012016-001;Prep. Kremu KCS;PLPA
PLPA-PR-021-012017;Prep coco milk RA;PLPA
PLPA-PR-021-012017-001;PREP 1 - CREME COCCO;PLPA
PLPA-PR-021-012101-001;Przygotowalnia ciasta;PLPA
PLPA-PR-021-012109;PREP 1;PLPA
PLPA-PR-021-012109-001;Używać 506018;PLPA
PLPA-PR-021-012109-002;PREP. Kremu FC KS;PLPA
PLPA-PR-021-012109-003;KBW enrobing;PLPA
PLPA-PR-021-012110;PREP 2;PLPA
PLPA-PR-021-012110-001;PREP. Kremu KB;PLPA
PLPA-PR-021-012110-002;nie używać;PLPA
PLPA-PR-021-012110-003;PREP. KREM KBW;PLPA
PLPA-PR-021-012110-004;NUT RUS;PLPA
PLPA-PR-021-012110-005;Kream KBW;PLPA
PLPA-PR-021-012111;Preparacja 3;PLPA
PLPA-PR-021-012111-001;PREP. Kremu NUT;PLPA
PLPA-PR-021-012112;TOSTINO 2;PLPA
PLPA-PR-021-012112-001;Dezodorator 2;PLPA
PLPA-PR-021-012115;Desodorator 2 (NUTEX);PLPA
PLPA-PR-021-012115-001;Palarnia orzechów 2 Barth;PLPA
PLPA-PR-021-012115-002;Rozdrabnianie kakao;PLPA
PLPA-PR-021-012118;PREP REWORK KJ;PLPA
PLPA-PR-021-012118-001;Pasta kokosowa RAF;PLPA
PLPA-PR-021-012118-002;FC Mild and Dark choc. mixing;PLPA
PLPA-PR-021-012119;Prep rework KB;PLPA
PLPA-PR-021-012119-001;KB Rework;PLPA
PLPA-PR-021-012120;PREP 3;PLPA
PLPA-PR-021-012120-001;Milk creams + Silosy magazynowe;PLPA
PLPA-PR-021-012120-002;Cocoa creams + hala roz/za - ładunku;PLPA
PLPA-PR-021-012120-003;Dezodoryzator 3;PLPA
PLPA-PR-021-012120-004;Czekolada mleczna - tymczasowa;PLPA
PLPA-PR-021-013000;Nutella B-ready (NIEAKTYWNY);PLPA
PLPA-PR-021-013000-001;B-ready Piece;PLPA
PLPA-PR-021-013000-002;B-ready Modelowanie;PLPA
